ticket_number,article,quantity,unit_price,timestamp
283248,BAGUETTE,2,1,02/09/22 7:31
283248,CROISSANT,4,1.2,02/09/22 7:31
283249,CROISSANT,1,1.2,02/09/22 7:32
283249,TRADITIONAL BAGUETTE,1,1.3,02/09/22 7:32
283250,SPECIAL BREAD,1,2.6,02/09/22 7:43
283250,COUPE,1,0.15,02/09/22 7:43
283251,BANETTE,1,1.15,02/09/22 7:49
283252,GRAND FAR BRETON,1,7.5,02/09/22 7:56
283252,TRADITIONAL BAGUETTE,2,1.3,02/09/22 7:56
283253,FICELLE,1,0.7,02/09/22 7:57
283253,TRADITIONAL BAGUETTE,1,1.3,02/09/22 7:57
283254,CROISSANT,2,1.2,02/09/22 7:59
283254,TRADITIONAL BAGUETTE,2,1.3,02/09/22 7:59
283255,BANETTINE,1,0.7,02/09/22 8:00
283256,BANETTE,1,1.15,02/09/22 8:06
283257,CROISSANT,2,1.2,02/09/22 8:11
283257,DEMI BAGUETTE,1,0.5,02/09/22 8:11
283258,CROISSANT,1,1.2,02/09/22 8:11
283258,TRADITIONAL BAGUETTE,1,1.3,02/09/22 8:11
283258,PAIN AU CHOCOLAT,1,1.3,02/09/22 8:11
283259,COUPE,1,0.15,02/09/22 8:14
283259,SPECIAL BREAD,1,2.6,02/09/22 8:14
283260,TRADITIONAL BAGUETTE,2,1.3,02/09/22 8:14
283261,BAGUETTE,1,1,02/09/22 8:15
283262,BANETTINE,1,0.7,02/09/22 8:23
283262,PAIN AUX RAISINS,1,1.6,02/09/22 8:23
283262,CROISSANT,1,1.2,02/09/22 8:23
283263,SAND JB EMMENTAL,1,4,02/09/22 8:24
283264,TRADITIONAL BAGUETTE,1,1.3,02/09/22 8:34
283265,COUPE,1,0.15,02/09/22 8:38
283265,CAMPAGNE,1,2,02/09/22 8:38
283266,BOULE 400G,1,1.7,02/09/22 8:39
283266,COUPE,1,0.15,02/09/22 8:39
283267,TRADITIONAL BAGUETTE,1,1.3,02/09/22 8:39
283267,PAIN AU CHOCOLAT,1,1.3,02/09/22 8:39
283268,BOULE 400G,1,1.7,02/09/22 8:42
283268,TRADITIONAL BAGUETTE,1,1.3,02/09/22 8:42
283269,TRADITIONAL BAGUETTE,1,1.3,02/09/22 8:42
283269,BANETTE,1,1.15,02/09/22 8:42
283270,TRADITIONAL BAGUETTE,1,1.3,02/09/22 8:43
283271,TRADITIONAL BAGUETTE,3,1.3,02/09/22 8:43
283272,TRADITIONAL BAGUETTE,2,1.3,02/09/22 8:45
283273,CROISSANT,8,1.2,02/09/22 8:47
283273,BAGUETTE,3,1,02/09/22 8:47
283274,BAGUETTE,1,1,02/09/22 8:49
283275,PAIN BANETTE,1,1.6,02/09/22 8:51
283276,TRADITIONAL BAGUETTE,2,1.3,02/09/22 8:54
283277,PAIN AU CHOCOLAT,1,1.3,02/09/22 8:58
283277,CAFE OU EAU,1,1,02/09/22 8:58
283278,BANETTE,1,1.15,02/09/22 8:59
283279,PAIN BANETTE,1,1.6,02/09/22 9:00
283280,FORMULE SANDWICH,2,7,02/09/22 9:06
283281,BOULE 400G,1,1.7,02/09/22 9:07
283282,CROISSANT,2,1.2,02/09/22 9:13
283282,TRADITIONAL BAGUETTE,2,1.3,02/09/22 9:13
283282,PAIN AU CHOCOLAT,1,1.3,02/09/22 9:13
283283,PAIN AU CHOCOLAT,2,1.3,02/09/22 9:14
283283,BAGUETTE,1,1,02/09/22 9:14
283284,FICELLE,1,0.7,02/09/22 9:15
283284,TRADITIONAL BAGUETTE,1,1.3,02/09/22 9:15
283285,TRADITIONAL BAGUETTE,2,1.3,02/09/22 9:17
283286,CHAUSSON AUX POMMES,3,1.6,02/09/22 9:26
283286,COOKIE,1,1.15,02/09/22 9:26
283287,QUIM BREAD,1,1.2,02/09/22 9:26
283287,CROISSANT,1,1.2,02/09/22 9:26
283288,BAGUETTE,1,1,02/09/22 9:27
283288,FORMULE SANDWICH,2,7,02/09/22 9:27
283289,TRADITIONAL BAGUETTE,2,1.3,02/09/22 9:30
283289,PAIN AU CHOCOLAT,3,1.3,02/09/22 9:30
283289,CROISSANT,3,1.2,02/09/22 9:30
283290,PAIN AU CHOCOLAT,1,1.3,02/09/22 9:31
283290,COOKIE,1,1.15,02/09/22 9:31
283291,FICELLE,2,0.7,02/09/22 9:32
283291,PAIN AU CHOCOLAT,4,1.3,02/09/22 9:32
283292,TRADITIONAL BAGUETTE,2,1.3,02/09/22 9:34
283293,COUPE,1,0.15,02/09/22 9:35
283293,MOISSON,1,2.2,02/09/22 9:35
283294,FICELLE,1,0.7,02/09/22 9:36
283295,TRADITIONAL BAGUETTE,1,1.3,02/09/22 9:44
283296,BAGUETTE,2,1,02/09/22 9:46
283297,TRADITIONAL BAGUETTE,1,1.3,02/09/22 9:48
283297,SAND JB EMMENTAL,1,4,02/09/22 9:48
283297,SANDWICH COMPLET,2,5,02/09/22 9:48
283298,CROISSANT,1,1.2,02/09/22 9:51
283298,CROISSANT AMANDES,2,1.6,02/09/22 9:51
283298,CEREAL BAGUETTE,1,1.35,02/09/22 9:51
283298,PAIN AUX RAISINS,1,1.6,02/09/22 9:51
283299,COMPLET,6,1.9,02/09/22 9:53
283300,BANETTE,1,1.15,02/09/22 9:54
283301,TRADITIONAL BAGUETTE,10,1.3,02/09/22 9:55
283302,TRADITIONAL BAGUETTE,1,1.3,02/09/22 9:56
283302,MOISSON,1,2.2,02/09/22 9:56
283302,FINANCIER X5,1,4,02/09/22 9:56
283303,CEREAL BAGUETTE,1,1.35,02/09/22 9:56
283304,TRADITIONAL BAGUETTE,1,1.3,02/09/22 9:58
283305,BAGUETTE,1,1,02/09/22 9:59
283306,TRADITIONAL BAGUETTE,1,1.3,02/09/22 10:00
283307,PAIN BANETTE,1,1.6,02/09/22 10:00
283308,PAIN AU CHOCOLAT,4,1.3,02/09/22 10:02
283308,TRADITIONAL BAGUETTE,2,1.3,02/09/22 10:02
283309,BANETTE,1,1.15,02/09/22 10:03
283310,TRADITIONAL BAGUETTE,1,1.3,02/09/22 10:04
283311,BAGUETTE,1,1,02/09/22 10:06
283312,BAGUETTE,1,1,02/09/22 10:07
283313,BOULE 200G,1,1.2,02/09/22 10:09
283313,FLAN ABRICOT,1,2.3,02/09/22 10:09
283313,COUPE,1,0.15,02/09/22 10:09
283314,TRADITIONAL BAGUETTE,2,1.3,02/09/22 10:11
283315,TRADITIONAL BAGUETTE,1,1.3,02/09/22 10:12
283316,TRADITIONAL BAGUETTE,2,1.3,02/09/22 10:16
